Episode,Success Rate
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.125
9,0.1111111111111111
10,0.1
11,0.09090909090909091
12,0.08333333333333333
13,0.15384615384615385
14,0.14285714285714285
15,0.13333333333333333
16,0.125
17,0.11764705882352941
18,0.1111111111111111
19,0.10526315789473684
20,0.1
21,0.09523809523809523
22,0.09090909090909091
23,0.08695652173913043
24,0.125
25,0.12
26,0.11538461538461539
27,0.1111111111111111
28,0.10714285714285714
29,0.10344827586206896
30,0.1
31,0.0967741935483871
32,0.09375
33,0.09090909090909091
34,0.08823529411764706
35,0.08571428571428572
36,0.08333333333333333
37,0.08108108108108109
38,0.07894736842105263
39,0.07692307692307693
40,0.075
41,0.07317073170731707
42,0.07142857142857142
43,0.06976744186046512
44,0.06818181818181818
45,0.06666666666666667
46,0.06521739130434782
47,0.06382978723404255
48,0.0625
49,0.061224489795918366
50,0.06
51,0.058823529411764705
52,0.057692307692307696
53,0.05660377358490566
54,0.05555555555555555
55,0.05454545454545454
56,0.05357142857142857
57,0.05263157894736842
58,0.05172413793103448
59,0.05084745762711865
60,0.05
61,0.04918032786885246
62,0.04838709677419355
63,0.047619047619047616
64,0.046875
65,0.046153846153846156
66,0.045454545454545456
67,0.04477611940298507
68,0.04411764705882353
69,0.043478260869565216
70,0.04285714285714286
71,0.04225352112676056
72,0.041666666666666664
73,0.0410958904109589
74,0.04054054054054054
75,0.04
76,0.039473684210526314
77,0.03896103896103896
78,0.038461538461538464
79,0.0379746835443038
80,0.0375
81,0.037037037037037035
82,0.036585365853658534
83,0.03614457831325301
84,0.03571428571428571
85,0.03529411764705882
86,0.03488372093023256
87,0.034482758620689655
88,0.03409090909090909
89,0.033707865168539325
90,0.03333333333333333
91,0.03296703296703297
92,0.03260869565217391
93,0.03225806451612903
94,0.031914893617021274
95,0.031578947368421054
96,0.03125
97,0.030927835051546393
98,0.030612244897959183
99,0.030303030303030304
100,0.03
101,0.0297029702970297
102,0.029411764705882353
103,0.02912621359223301
104,0.028846153846153848
105,0.02857142857142857
106,0.02830188679245283
107,0.028037383177570093
108,0.027777777777777776
109,0.027522935779816515
110,0.02727272727272727
111,0.02702702702702703
112,0.026785714285714284
113,0.02654867256637168
114,0.02631578947368421
115,0.02608695652173913
116,0.02586206896551724
117,0.02564102564102564
118,0.025423728813559324
119,0.025210084033613446
120,0.025
121,0.024793388429752067
122,0.02459016393442623
123,0.024390243902439025
124,0.024193548387096774
125,0.024
126,0.023809523809523808
127,0.023622047244094488
128,0.0234375
129,0.023255813953488372
130,0.023076923076923078
131,0.022900763358778626
132,0.022727272727272728
133,0.022556390977443608
134,0.022388059701492536
135,0.022222222222222223
136,0.022058823529411766
137,0.021897810218978103
138,0.021739130434782608
139,0.02158273381294964
140,0.02142857142857143
141,0.02127659574468085
142,0.02112676056338028
143,0.02097902097902098
144,0.020833333333333332
145,0.020689655172413793
146,0.02054794520547945
